#"Step","Potential Energy (kJ/mole)","Temperature (K)"
51100,-20600.641698454758,318.394499212847
51200,-20615.34310557311,321.3427912628782
51300,-20615.412738845473,330.5671593519471
51400,-20496.029317587192,327.6915394241122
51500,-20539.096612277077,327.20955208340473
51600,-20629.897125236275,337.8643387135142
51700,-20503.994610365797,323.221695264102
51800,-20443.5471541125,321.8669085289155
51900,-20528.02249482234,320.173855711076
52000,-20452.99066790325,321.31563202316534
52100,-20653.383909899952,339.02107744642194
52200,-20480.752422351663,327.1016589937558
52300,-20710.646026610295,334.7612676667891
52400,-20462.13586244379,325.5127919695086
52500,-20460.823226973363,335.71862986999133
52600,-20473.115728457848,330.70427464048026
52700,-20674.71647982532,326.68978951036354
52800,-20682.3688885493,332.72490947936126
52900,-20616.772412884857,321.792430998996
53000,-20557.12668844337,312.9837355773617
