#"Step","Potential Energy (kJ/mole)","Temperature (K)"
61100,-20631.411073272622,301.6060243270692
61200,-20736.934085544908,311.92029504836876
61300,-20742.598282687846,318.636153478341
61400,-20593.946770215636,311.0931876865531
61500,-20551.912473339038,315.9320880664005
61600,-20537.485279522345,316.62932446949355
61700,-20356.990494796515,312.86548782440997
61800,-20586.327077048056,326.2115589691926
61900,-20641.306316634447,332.8497647858307
62000,-20429.410602772965,320.33893830693194
62100,-20482.89380240517,321.6096351753863
62200,-20679.049484678268,331.85699230585305
62300,-20602.436942853325,318.9341716108418
62400,-20643.906261833075,326.26817198535
62500,-20731.17790451457,323.9224712538509
62600,-20630.169775352853,310.3165381009272
62700,-20857.126669573234,314.4000388353802
62800,-20899.47772957622,324.29793194108595
62900,-20749.748058664092,310.2939595892212
63000,-20673.57438283,311.3680986758102
