#"Step","Potential Energy (kJ/mole)","Temperature (K)"
31100,-20760.832719955248,319.6394356161246
31200,-20895.001231277896,328.3719350020977
31300,-20710.699883376677,319.52827636860724
31400,-20749.948783793232,335.71218104500434
31500,-20611.56161030659,319.1403234149394
31600,-20647.552484981883,327.34371403640546
31700,-20867.85858032864,319.6883609803907
31800,-20987.648296582433,319.2261782078716
31900,-20838.55246983826,292.4977066360601
32000,-20688.474332243193,295.6080725569822
32100,-20782.59083042882,317.41738509707614
32200,-20768.596194887188,319.0933092638121
32300,-20858.544981968043,331.0187108568625
32400,-20781.538614534464,318.68745038961964
32500,-20715.974026727155,314.23952540477705
32600,-20573.456102151933,313.1487669883417
32700,-20720.229761452818,321.14181874979147
32800,-20896.331577294604,333.1059624399697
32900,-20669.38200356785,319.07939426693844
33000,-20803.128419660432,321.24359225029855
