#"Step","Potential Energy (kJ/mole)","Temperature (K)"
43100,-20481.331012519207,317.2892137712023
43200,-20377.765819260938,321.7831073862739
43300,-20588.562895320254,333.781890355033
43400,-20538.53109328982,339.7125367102826
43500,-20555.561363394118,331.49989925114335
43600,-20454.021352361015,329.04199487906124
43700,-20409.182943020915,324.9797065177269
43800,-20521.367033085826,325.6070585091952
43900,-20490.92760656194,325.729410346548
44000,-20482.116137103752,334.81861270871514
44100,-20193.472120445924,321.4997159849812
44200,-20482.189800122287,346.46457123357334
44300,-20274.95274978951,322.17523871943763
44400,-20318.228372196245,332.16039862961424
44500,-20467.39089652923,330.7360114113329
44600,-20320.415764727415,320.0005344159255
44700,-20434.26746349503,324.09321437993714
44800,-20397.47622661507,320.59679397341154
44900,-20536.199633433072,329.3858545791212
45000,-20323.903562810403,325.70146647643963
