#"Step","Potential Energy (kJ/mole)","Temperature (K)"
33100,-20259.037612111926,330.7169233806328
33200,-20377.935847001125,329.02986786006335
33300,-20371.301917845314,329.96757650089603
33400,-20388.227794757262,326.96307285063136
33500,-20412.69800566238,324.12761803896154
33600,-20511.59754287205,340.2887186072189
33700,-20599.469748054595,343.3113390651834
33800,-20531.30243292771,333.2783841504113
33900,-20522.03761397884,323.5752824988975
34000,-20506.578287230663,329.7433022282466
34100,-20585.047296226134,325.51175331362293
34200,-20571.081162342205,335.06792095181294
34300,-20481.892845485072,329.25790546376805
34400,-20253.76788126062,321.50430023079207
34500,-20439.31085475757,326.3671575642533
34600,-20309.43641224322,335.8881857965236
34700,-20261.584567823375,325.9967314367766
34800,-20508.00842077727,343.4213551778736
34900,-20639.61367968544,343.89032883880236
35000,-20437.092370732735,333.2150392102094
