#"Step","Potential Energy (kJ/mole)","Temperature (K)"
59100,-21168.28352131112,296.36890931051386
59200,-21263.15163152682,297.2906335776108
59300,-21377.153894063038,307.8345113000559
59400,-21182.951826452765,293.69716881723
59500,-21286.793759715776,303.29958535855064
59600,-21153.287059133523,303.3332638297644
59700,-21244.947868706804,301.0832796686937
59800,-21310.621309914135,301.38034366105796
59900,-21127.332864322812,290.9241383622434
60000,-21211.619826420792,299.01859944036636
60100,-21156.821426264716,308.9435673045878
60200,-21112.911382408114,289.1600898274462
60300,-21125.25912372339,292.6113067429801
60400,-21195.728445849658,299.7029651522299
60500,-21278.07931781094,300.09451027385495
60600,-21193.10068843685,300.1012024574463
60700,-21060.891279581418,308.24659800939787
60800,-20895.49385520823,306.3283964784268
60900,-20772.064211070385,297.04656982969834
61000,-20959.303757590373,312.47788303562754
