#"Step","Potential Energy (kJ/mole)","Temperature (K)"
39100,-21222.981943923878,290.9062829103923
39200,-21190.210023257965,303.1069045429934
39300,-21083.33675193163,309.97797640825365
39400,-20972.649207142495,303.94389795280205
39500,-20950.804669476995,315.46398738907817
39600,-20879.375170805382,309.39610259026585
39700,-20753.642776599117,303.0181153697678
39800,-20902.518913820084,318.1736143449336
39900,-20750.92616238501,312.60578669896984
40000,-20492.90065200125,296.9883211805102
40100,-20720.385305595853,315.28098248058467
40200,-20786.151310675916,315.4642748803675
40300,-20887.22299216288,326.66363179295513
40400,-20704.506104143136,320.376904625367
40500,-20647.935174541275,314.5095061635284
40600,-20654.407586463927,313.8391130325777
40700,-20578.456035741026,322.2157403004018
40800,-20724.803821474943,337.64396189227034
40900,-20306.427003854704,319.0600620428902
41000,-20582.98789658338,343.82732160074414
