#"Step","Potential Energy (kJ/mole)","Temperature (K)"
63100,-20315.321215259803,315.57693090720034
63200,-20261.388366096635,318.9949701711314
63300,-20505.19952439129,330.95014122844213
63400,-20629.499080487858,350.60735518089825
63500,-20394.333553343316,338.3675537740709
63600,-20276.79736710515,325.29832840250975
63700,-20206.24786017411,321.98990672895917
63800,-20521.25939124004,334.96883247904896
63900,-20553.433815414464,331.0921642386474
64000,-20485.541063037803,319.52190140759103
64100,-20405.08301891021,311.37427840399016
64200,-20490.66328464557,314.1410171802392
64300,-20604.61412767871,312.59453679274446
64400,-20760.90399086171,323.3394387421122
64500,-20768.75821705539,333.1961222630655
64600,-20637.060148564753,332.019153368952
64700,-20382.29558577641,314.48129128002836
64800,-20711.261885441207,328.0766940428668
64900,-20601.845641857057,324.5552496439183
65000,-20373.558074652872,312.0955800925519
