#"Step","Potential Energy (kJ/mole)","Temperature (K)"
49100,-20707.09627992996,338.4061291926121
49200,-20692.364343518075,324.94214736227775
49300,-20622.568321683815,310.0877287376643
49400,-20735.582142031264,317.9221970623914
49500,-20577.02478074128,317.48938896302894
49600,-20345.2837343509,309.8995031627906
49700,-20436.422543569646,319.1627096023565
49800,-20336.845579557754,311.5850928431325
49900,-20423.211333035335,321.707191286947
50000,-20553.6592213985,322.9484289176079
50100,-20671.880147438795,324.0375560697798
50200,-20657.825375790315,313.8580643235081
50300,-20611.717869710705,306.4376041945868
50400,-20655.064488318985,316.777206440147
50500,-20623.160192352814,325.5582988377695
50600,-20850.093256659376,327.98556280788057
50700,-20637.892805559764,317.3092515155056
50800,-20681.41282208173,321.0493878391254
50900,-20799.13962670094,329.5003237373807
51000,-20709.576536354012,324.60627057751094
