#"Step","Potential Energy (kJ/mole)","Temperature (K)"
45100,-21433.494890154267,269.3192960180392
45200,-21459.473343633123,279.14707550986134
45300,-21628.190019041234,288.42268102813426
45400,-21456.5755987696,279.2188211545112
45500,-21324.084833600224,282.11077734154475
45600,-21352.564176274987,290.2653993769508
45700,-21419.064428450463,298.86210628046825
45800,-21264.075548711186,284.3472104729446
45900,-21436.008508345654,300.9716238053705
46000,-21375.63430194038,304.30559157490796
46100,-21237.09470002937,298.87045886334624
46200,-21089.190758022323,281.05644248390854
46300,-21065.01227987958,288.51796388841575
46400,-21082.992027186006,294.63019232199105
46500,-21103.31969817779,300.953571309515
46600,-21104.433064663815,308.434513968941
46700,-21281.998918832436,314.3598300882853
46800,-21013.149644418507,299.86864183847524
46900,-20975.74398052402,295.0672969013859
47000,-21023.872767124758,307.0925211346096
