#"Step","Potential Energy (kJ/mole)","Temperature (K)"
59100,-21015.710829185904,274.879252871301
59200,-21162.094540469272,296.64932492184886
59300,-21097.365714761778,306.1437067999639
59400,-21007.959309679118,313.59966273121535
59500,-20919.42115779394,310.03170407437136
59600,-20787.298691732554,308.0549511808044
59700,-20849.449677686916,318.5329552453796
59800,-20829.643124345137,307.46235315509415
59900,-20880.98525318435,305.6673842060004
60000,-21008.820628988375,317.06991852552716
60100,-21043.01731617416,320.27689877361223
60200,-20954.32672281004,318.79067809119346
60300,-20809.100401993255,311.74677988815654
60400,-20862.392923360192,313.6465491497825
60500,-20809.814545065048,317.63381023203885
60600,-20836.73976812753,323.8877740050744
60700,-20949.318747293015,322.14631966380836
60800,-20859.445812942133,307.64825821675424
60900,-20787.998196719927,305.81906932500095
61000,-20793.785666525735,314.8059645702435
