#"Step","Potential Energy (kJ/mole)","Temperature (K)"
45600,-21470.686627666695,271.9683121114636
45700,-21333.491997959467,277.5052372258872
45800,-21326.37233587536,288.73032593723246
45900,-21276.165840838028,301.81755484352965
46000,-21252.526461579895,300.48001624956106
46100,-21099.881288297744,292.0899107997057
46200,-21141.481596502428,294.5458319251493
46300,-21309.565360075718,312.4202984960447
46400,-20980.842552063437,303.2506587042897
46500,-20985.23162417173,305.2201340303538
46600,-20978.126437284296,311.54219179303175
46700,-20997.474728434594,313.9577487901669
46800,-20896.19253959738,305.9135138964841
46900,-20859.160400636647,310.2572636815626
47000,-20623.988476470673,298.54117195048235
47100,-20855.6899472578,309.0666851641918
47200,-20856.995929013105,312.9966983999435
47300,-20696.57856069314,303.01341606477575
47400,-20878.741327500262,316.0792322049734
47500,-20904.16287208939,315.47621327439634
