#"Step","Potential Energy (kJ/mole)","Temperature (K)"
25600,-21002.548201726207,308.095707122893
25700,-21051.554407853637,311.9278537105885
25800,-20841.01468997214,296.09509883957685
25900,-20987.398085496476,296.7390788753761
26000,-21044.501958332792,319.160718836808
26100,-20892.678373775467,304.82920958220217
26200,-21046.135373063466,314.119785616541
26300,-20761.79269100418,304.96481499177156
26400,-20836.733170453455,313.7523004402666
26500,-20784.367448089542,311.50647056464146
26600,-20721.278450715447,307.67382325160366
26700,-20669.466276862026,311.14097806930545
26800,-20807.70367559245,327.0139822996979
26900,-20588.452955204455,308.2996252559619
27000,-20733.990457257867,321.291246653302
27100,-20728.11039374693,305.59924139816866
27200,-20821.917908060463,301.0986675272594
27300,-21016.676058531615,318.92990089432766
27400,-20937.903781251833,304.9719089191637
27500,-20857.593055046873,297.1328499809133
