#"Step","Potential Energy (kJ/mole)","Temperature (K)"
33600,-21392.23293635554,282.66797654757283
33700,-21546.818363301703,300.5952803018299
33800,-21366.552293903158,291.46962046577687
33900,-21346.83385541795,301.3904893262614
34000,-21272.392779102112,297.3470141107655
34100,-21223.58562847702,292.54956141684124
34200,-21292.36836213205,299.2207036430154
34300,-21291.452495601472,308.03896702813864
34400,-21089.397744620062,294.4197900047953
34500,-21077.349417793448,301.39875440132073
34600,-21182.353867237372,305.3565581943718
34700,-21005.162379486672,296.91508126247754
34800,-21124.657024484633,309.94288694913826
34900,-21201.768908806593,313.38872940202
35000,-20937.49114412702,293.8247523057591
35100,-21105.41075731742,312.5980522514451
35200,-21105.793190544773,309.44687568375616
35300,-20987.47016022026,296.4205446531893
35400,-21114.549221883004,300.92368414544154
35500,-20931.432118334124,299.10607235951466
