#"Step","Potential Energy (kJ/mole)","Temperature (K)"
43100,-21482.458084009853,298.42615067212375
43200,-21145.906305060606,277.2337075799674
43300,-21098.967709285884,289.5933116867304
43400,-21249.116388613216,297.81259043377725
43500,-21116.0885315301,304.84585223129676
43600,-21002.80146308198,294.4184507690337
43700,-20910.373378602264,295.82866418963744
43800,-21046.017963661794,303.5951120076936
43900,-20982.258216907096,309.61352347549007
44000,-21016.676632044262,308.34455091595754
44100,-21039.117291794333,305.3601991433287
44200,-21066.372168835365,307.4439662857853
44300,-21150.560243472617,303.8865446403953
44400,-21132.577774482023,304.79843681555485
44500,-21079.301565515463,300.5491935025984
44600,-21323.21372899699,311.8224919802745
44700,-21224.410829436812,302.9278402996218
44800,-21048.117776522096,296.15670493642557
44900,-21085.200168023446,298.80389089470174
45000,-20993.84360133657,293.3239185817581
