#"Step","Potential Energy (kJ/mole)","Temperature (K)"
39600,-21045.67416169316,314.2245176407587
39700,-21059.987040687414,322.2547874114627
39800,-21005.464825854266,300.24490756089966
39900,-20894.739619139324,291.57758948349243
40000,-20987.695773184303,305.10601090507384
40100,-21099.186150495538,306.0694957155244
40200,-21168.923684036956,317.4877039413424
40300,-21036.052937017015,310.97374739432723
40400,-20655.37252698532,293.43779821377325
40500,-20954.68233402562,309.4710417419565
40600,-20989.08641109596,309.9881366650952
40700,-20879.822548581902,305.9800332011201
40800,-20974.708796997846,321.11766501615875
40900,-20860.5001278075,315.3586303139873
41000,-20874.501938159327,316.5677830600779
41100,-20715.96772532403,310.75106980718067
41200,-20705.006276333734,306.89129834295613
41300,-20752.427323363405,307.17020595723363
41400,-20736.612682600222,302.58171135084075
41500,-20783.16803887303,297.1278074624276
