#"Step","Potential Energy (kJ/mole)","Temperature (K)"
57100,-21096.545226855393,290.0810584826746
57200,-21040.658467490786,303.0536235315892
57300,-21077.81803375254,307.1378357014175
57400,-20969.65741425543,308.78903851864015
57500,-20810.63940595605,310.41734598024135
57600,-20640.23919739887,302.863649669382
57700,-20758.623484287196,312.2527740194473
57800,-20689.141568657426,312.22475117429155
57900,-20735.210020766695,319.5034521991315
58000,-20574.97071662412,316.0552546729239
58100,-20643.604261755758,333.75233904377023
58200,-20570.838758192815,327.74716471392145
58300,-20636.412825577612,331.9987596712319
58400,-20485.986087263744,318.4864730368098
58500,-20661.548250276788,321.3512371744684
58600,-20574.071819166962,318.9527378393644
58700,-20593.542205591708,328.30939774065894
58800,-20717.591296738497,327.0877986910181
58900,-20657.443727487604,332.7053307712431
59000,-20766.317895774573,334.6141256335404
