#"Step","Potential Energy (kJ/mole)","Temperature (K)"
63100,-20637.544220827556,305.3645744874821
63200,-20903.289727473777,319.6889744655564
63300,-20826.85983545835,316.7088849190575
63400,-20576.119881790433,304.0062014528983
63500,-20659.624253193713,310.0803224838161
63600,-20832.501697334865,321.69362253792053
63700,-20768.546628028238,315.12450483468155
63800,-20915.543679204384,325.974190981638
63900,-20754.584595433073,316.990691373386
64000,-20746.865497396502,321.0530072033007
64100,-20827.462841133758,315.51105487944244
64200,-20757.917464800357,308.48928758255573
64300,-20812.465872291337,320.76318394207556
64400,-20847.623393796774,324.26894526746776
64500,-20703.60136493088,317.2792233743715
64600,-20607.01132538312,318.6956460078432
64700,-20707.63282072995,325.9019942792088
64800,-20757.913519424954,321.0058400645468
64900,-20637.732970647532,310.3896032352985
65000,-20791.381812870455,315.6675972980477
