#"Step","Potential Energy (kJ/mole)","Temperature (K)"
35100,-20560.45519224184,316.8029171342091
35200,-20554.912838870878,325.2112339542772
35300,-20590.923456478962,322.48545726093437
35400,-20658.968364387423,333.0918108615481
35500,-20479.959601045353,322.46740523963297
35600,-20620.241554108554,332.42325389464827
35700,-20488.55695686115,318.82807555053176
35800,-20529.73005737065,319.68187358101795
35900,-20669.82499474778,327.8432523478826
36000,-20726.65974648558,324.18233699316704
36100,-20463.7788374457,319.4149545185806
36200,-20422.344908720424,310.5602923397991
36300,-20752.285595457433,329.3318131596252
36400,-20493.771650444254,317.04606194223635
36500,-20431.765366513948,304.16569455071715
36600,-20545.82180214547,315.6815848305122
36700,-20832.139623991232,324.82450296053736
36800,-20744.04099250692,313.49933233535876
36900,-20815.983995619805,310.4843371274945
37000,-20944.255209404164,322.8992141790767
