#"Step","Potential Energy (kJ/mole)","Temperature (K)"
55100,-20430.68723311372,326.8480456652894
55200,-20469.243802049976,320.758810774241
55300,-20645.443799906745,328.691269200559
55400,-20484.139391601206,323.8002015293385
55500,-20658.37014691408,318.3431921952099
55600,-20514.861817429435,315.17763783045046
55700,-20596.317496696338,309.93487074365174
55800,-20772.009678635488,326.1986070616086
55900,-20492.53323112065,310.0389646890987
56000,-20609.89218396343,323.8305369384811
56100,-20689.088056967146,323.5323858502948
56200,-20752.146408132205,319.7377379936176
56300,-20582.885389374802,309.2977828336028
56400,-20646.08262608959,322.71093665726994
56500,-20546.285360831444,321.1002895273663
56600,-20684.80479450175,325.40994269218857
56700,-20635.934602372898,317.96898013955234
56800,-20452.39972339578,308.75095708760966
56900,-20615.935130413538,314.29548780211144
57000,-20671.227770053698,315.73984795622624
