#"Step","Potential Energy (kJ/mole)","Temperature (K)"
39100,-21192.662143055455,306.71148003686096
39200,-21190.991705860608,305.1542532791337
39300,-21142.804546179734,308.2030031493505
39400,-20929.230634107218,290.77034476125857
39500,-21191.522108400466,302.2578296733704
39600,-21087.636436616584,293.2089916211281
39700,-21307.717028345545,310.5629769139532
39800,-21244.880202336895,297.2764097825705
39900,-21351.67350152043,299.85988528879335
40000,-21411.82483547673,300.55781454824944
40100,-21253.11111467242,298.8747972122451
40200,-21263.152220996406,296.1786367236993
40300,-21324.093060668834,288.93576156625824
40400,-21357.27400421528,287.6147756883728
40500,-21264.6374126496,279.6278312094383
40600,-21239.233203164775,288.13366113334143
40700,-21217.09258191632,292.5790030564054
40800,-21289.08185769238,303.09067142708847
40900,-21353.465662078404,300.83351413246714
41000,-21191.406684501984,299.3580690646968
