#"Step","Potential Energy (kJ/mole)","Temperature (K)"
47100,-20535.314431216102,317.3390856801685
47200,-20500.543916928975,318.72068837378544
47300,-20707.890619316036,326.20875115270724
47400,-20675.249527567383,326.80902995637217
47500,-20545.123586646165,335.3205674555045
47600,-20575.01673486064,330.15921823415033
47700,-20678.85912737231,331.18744980236704
47800,-20684.49175095572,328.3336534762491
47900,-20508.55329469412,315.2908778654483
48000,-20635.923028709574,321.6884030018884
48100,-20784.37156855319,321.1704108357729
48200,-20737.414114718285,316.3898711745296
48300,-20859.90967706929,322.4105643991975
48400,-20870.5922573664,321.08054565871913
48500,-20798.38643783968,304.74899437273507
48600,-20863.2232250367,311.35420450205135
48700,-20737.38703744167,309.9451281185352
48800,-20925.934421945796,323.4833103248509
48900,-20870.55769593649,310.4542451788612
49000,-20843.34662976805,299.6902862167218
