#"Step","Potential Energy (kJ/mole)","Temperature (K)"
25100,-20887.359527937806,322.9925503743063
25200,-20736.945350796064,318.55120106656284
25300,-20782.2832004982,312.2833361134136
25400,-20769.6584208882,306.21117340761685
25500,-20809.724165047144,317.0887762115746
25600,-20797.754121530514,320.6616574136091
25700,-20682.06552891522,317.51344481432255
25800,-20832.111958460166,318.2750541123782
25900,-20717.21384631717,312.759177524494
26000,-20768.48521546637,310.38114566980914
26100,-20856.40436493078,308.42449913644214
26200,-20936.43937671081,306.5080443716685
26300,-20920.675194080228,306.7983936028801
26400,-20919.375540546924,302.8397548973691
26500,-21005.022848005865,312.89898063314104
26600,-20998.13004955528,307.53716706475996
26700,-20785.540781918582,297.64159284571963
26800,-21143.946694280196,314.47475042729866
26900,-21012.0571731079,305.5397070470143
27000,-21074.666533072024,312.3568076246014
