#"Step","Potential Energy (kJ/mole)","Temperature (K)"
41100,-20645.10265940525,314.6709481743196
41200,-20891.218856061743,320.5427168130701
41300,-20818.332708573027,319.6598677334427
41400,-20694.9921573466,309.2291714240509
41500,-20760.408322697145,305.55693008839023
41600,-20841.16758396109,304.13160961146343
41700,-20733.66617861246,305.9806967049717
41800,-20796.43133604894,316.9526034521562
41900,-20845.79380203176,317.1538733379021
42000,-20876.600024436586,311.5039769721135
42100,-20797.81967957175,313.0595036873484
42200,-20884.861167942236,321.9269806654078
42300,-20712.593850980964,320.68134033876146
42400,-20570.61465353745,311.7698721499339
42500,-20748.602882971383,329.54637125217437
42600,-20538.702154661987,323.2758767820862
42700,-20679.72701997454,326.46582053826563
42800,-20498.841498924237,320.5521903888532
42900,-20456.33987119274,317.4360472455811
43000,-20575.924067050597,328.5942383375144
