#"Step","Potential Energy (kJ/mole)","Temperature (K)"
27600,-21433.038747404582,272.19216668299055
27700,-21525.426737863105,278.2949368993582
27800,-21450.626931664712,290.40829987138665
27900,-21459.334744621017,293.92117558022545
28000,-21358.47193858814,297.24591362392533
28100,-21204.95895040084,301.88323622823316
28200,-21192.322476407317,311.5482211656525
28300,-21109.672725541797,308.2943144294258
28400,-20924.308569766352,302.72170261418876
28500,-20970.996041140417,299.32074591045915
28600,-21007.8107688145,304.5625569804857
28700,-21194.174052969443,319.81970944988166
28800,-21091.311441199054,310.95609225256
28900,-21095.271584073565,310.7311725058382
29000,-21116.671525427544,302.55745023175376
29100,-20860.25889363993,298.4274943897867
29200,-20978.631206289036,298.79662834333493
29300,-20996.90846903497,307.9578030144313
29400,-21057.046686021513,313.60337874936585
29500,-20946.93643339173,318.01137162797505
