#"Step","Potential Energy (kJ/mole)","Temperature (K)"
29100,-20768.631046841496,300.3786291057712
29200,-20785.98567777242,299.57825029116424
29300,-20994.943142978034,316.0413938504246
29400,-20865.540932515134,307.02902839542975
29500,-20784.28331173532,305.5985255608514
29600,-20743.618988854527,313.8490389552168
29700,-20887.516163901237,315.02405882126936
29800,-20860.297772814298,317.8351083844579
29900,-20732.32272851225,311.52313892455084
30000,-20870.751492393458,308.8365015259749
30100,-20874.130590263583,303.85800593748667
30200,-21021.539787915113,297.2124876136374
30300,-20825.070898261787,293.63850073779605
30400,-21151.694768833288,318.71741673487344
30500,-20990.79222629004,310.0897005394116
30600,-20910.08250259053,315.5699977263247
30700,-20858.42794092796,311.7159012001226
30800,-20854.916654790784,316.78245022191453
30900,-20765.043857008743,313.3022940399984
31000,-20811.02690940833,314.30656145589165
