#"Step","Potential Energy (kJ/mole)","Temperature (K)"
61600,-20855.322305293488,310.18999346300586
61700,-20824.177298742616,314.39738950037264
61800,-20987.94039248838,319.1550920223566
61900,-21009.447400723708,324.9060716017018
62000,-20834.04033610143,311.6112936151095
62100,-20824.74911087399,309.3066514796438
62200,-20867.21251743409,315.78259812406367
62300,-20935.657177111283,306.6977839765366
62400,-20922.866204190916,307.7658828823655
62500,-20997.962581491596,310.1330166576921
62600,-20924.402041894395,313.7344310780137
62700,-21036.14322693704,316.62368501842667
62800,-20898.757623081052,306.21467349292874
62900,-20996.571217200566,319.7023223162779
63000,-20927.682669564874,309.3022086313478
63100,-20857.701533746458,307.6550695811641
63200,-20991.872892780368,322.4383995329607
63300,-20799.14660026072,308.441977002042
63400,-20942.655956222996,324.579999037635
63500,-20924.229688699863,306.30390492073843
