#"Step","Potential Energy (kJ/mole)","Temperature (K)"
47100,-20277.47217536773,328.5430103574617
47200,-20353.62380861031,327.62257661518504
47300,-20509.311002540057,345.24532360728347
47400,-20437.48234045302,336.362482608635
47500,-20371.990471380694,330.19750887836904
47600,-20380.411710159842,334.9012129548195
47700,-20544.764890322305,340.5735787086707
47800,-20516.349047054755,335.23842319528393
47900,-20589.478110627,327.70494706209985
48000,-20496.356364971372,320.19469334490043
48100,-20609.825089352125,333.6629977418612
48200,-20594.29590509716,321.26481169346437
48300,-20467.763565724017,321.1961084485238
48400,-20654.420428384994,329.1563598742751
48500,-20337.833904119532,316.301116289745
48600,-20458.157318537797,323.9170439352911
48700,-20511.820027344515,336.1849331495545
48800,-20429.991756152882,334.49063726081533
48900,-20341.89185122855,334.5133461435391
49000,-20336.477719410006,318.88225277219277
