#"Step","Potential Energy (kJ/mole)","Temperature (K)"
27100,-20598.184475812846,328.3785795693978
27200,-20598.95507235468,313.94652465516833
27300,-20487.19497712282,301.0519012990456
27400,-20737.407325201213,313.10314314549095
27500,-20698.82411459922,310.67124195376783
27600,-20732.97710608898,306.88934623608696
27700,-20855.506046363025,318.642164901851
27800,-20772.3488826077,319.24925322785214
27900,-20539.97019440405,305.7259425805429
28000,-20740.188640489603,320.5542964936562
28100,-20726.756228225597,336.63160213719215
28200,-20593.919392526983,321.5300010440388
28300,-20420.09698090201,315.40098276900494
28400,-20503.121096177336,322.5035453276771
28500,-20387.11729160842,322.4942222273157
28600,-20627.48710443474,342.5890137644045
28700,-20527.99162503623,333.717210903994
28800,-20566.104472711155,332.87047568901346
28900,-20444.411253307342,328.1728681106918
29000,-20528.493433167143,328.8242706000721
