#"Step","Potential Energy (kJ/mole)","Temperature (K)"
45100,-20531.935538085025,346.3628061762426
45200,-20246.759030668396,331.21165013714756
45300,-20326.187031707035,334.76561053967015
45400,-20308.82722712341,335.6019434650343
45500,-20328.70937285541,336.2972567196923
45600,-20157.295892399587,328.01751303524105
45700,-20234.14279960888,337.8612462549382
45800,-20317.157674847436,337.19990341566614
45900,-20282.87248486744,330.09916199486514
46000,-20228.803135453796,330.4156421552845
46100,-20446.645318118666,341.0933804536581
46200,-20508.22734101165,338.46643288714665
46300,-20247.986742088524,331.5573913761673
46400,-20377.690033317012,334.04331792301326
46500,-20419.522840760517,322.63701577163187
46600,-20450.947095143863,319.20346569015953
46700,-20461.623244988543,324.073314282861
46800,-20468.833040979127,332.0474279473126
46900,-20459.65522739789,324.6687912732655
47000,-20309.777715106935,320.00753641313196
