#"Step","Potential Energy (kJ/mole)","Temperature (K)"
37100,-20873.03206250771,322.477135307772
37200,-20851.277083344485,317.70032539221376
37300,-20893.088100481822,324.21830091303326
37400,-20854.742644313767,317.52768633930236
37500,-20675.482059911254,312.0216467430581
37600,-20729.15925774785,322.37846391169506
37700,-20631.384871381604,318.0054682178001
37800,-20839.13173147401,333.8992567373619
37900,-20488.68999783,315.7586442791907
38000,-20538.913465346857,323.9180287669637
38100,-20514.674326582706,326.7153243949992
38200,-20461.84048909647,330.7797475706938
38300,-20543.31752839943,330.7791012538402
38400,-20683.684066101283,336.6845557613956
38500,-20553.17134713486,323.94194663344035
38600,-20494.65169876832,324.4502880344515
38700,-20593.456961445583,331.1888545814326
38800,-20644.73391087083,320.07366872474427
38900,-20625.38312118698,315.1720027238165
39000,-20706.427035892302,330.62452920010537
