#"Step","Potential Energy (kJ/mole)","Temperature (K)"
35100,-20551.21439310542,336.9832875280411
35200,-20481.636732796604,335.8579043822672
35300,-20547.447674552826,326.56114296527437
35400,-20476.607660266185,320.6005558003908
35500,-20589.407188688576,336.21474237448194
35600,-20443.760410495543,325.61396778573265
35700,-20337.711097595413,327.4526440976041
35800,-20449.831030501537,328.0439714524229
35900,-20750.65654673639,346.54365240680835
36000,-20495.38527670921,343.1082010959767
36100,-20344.84904283547,335.8298488272346
36200,-20349.554229784597,323.6268878335288
36300,-20329.635414798784,330.3060157305293
36400,-20428.968011879777,330.3476555710527
36500,-20378.035316342986,323.6542877835772
36600,-20539.195880322528,327.2584213134667
36700,-20556.67865724959,331.4643980359146
36800,-20472.996718008017,329.91590754238155
36900,-20489.018858653995,332.4149819009457
37000,-20244.254325885016,319.7406551331924
