#"Step","Potential Energy (kJ/mole)","Temperature (K)"
37100,-21565.455718412373,282.2765782929552
37200,-21422.642808310164,285.4778067414616
37300,-21308.746037335906,285.56793507376756
37400,-21327.823376632685,290.66932391887184
37500,-21343.430971017562,298.5788366292957
37600,-21318.618570242645,292.43813467444204
37700,-21378.429403289232,298.4942124602429
37800,-21138.529940904446,291.2293771409549
37900,-21095.000727094604,286.54640459619276
38000,-21247.083395818576,301.6722608627221
38100,-21363.884881133006,310.6576825803156
38200,-21338.95983454099,301.0840285632861
38300,-21373.40136220152,290.9356607807342
38400,-21404.952890020628,296.38681809317495
38500,-21392.71291031924,294.00417327281343
38600,-21417.09968276229,298.7601334974573
38700,-21368.571091858037,294.1167728198469
38800,-21400.350885140047,297.61802121655097
38900,-21310.226143483367,289.8805812641719
39000,-21306.400823798347,301.75011833914186
