#"Step","Potential Energy (kJ/mole)","Temperature (K)"
43600,-21301.567228759282,296.07884476995025
43700,-21258.999436255865,291.82727151111914
43800,-21253.730278132953,294.4909881928897
43900,-21262.672965078622,301.93147882904975
44000,-21171.884076445058,301.8619413299005
44100,-21118.747279206815,294.56583222717614
44200,-21203.671098686234,301.16194743262423
44300,-21164.11507605867,298.9005912470226
44400,-21275.00880312288,302.10992352665403
44500,-21094.40875486968,296.53207350883304
44600,-21015.876663867868,292.354028496101
44700,-20865.643777052937,299.8615270396814
44800,-20927.129062984255,311.05210203767535
44900,-20888.163579347063,306.7697919391442
45000,-20798.203421660015,305.0189382911811
45100,-20749.16254271821,306.93008083656696
45200,-20886.447919932147,306.3253935380243
45300,-21068.595033381815,324.10277367587645
45400,-21001.835408751314,312.9848271508647
45500,-20979.572861464072,294.0161040240726
