#"Step","Potential Energy (kJ/mole)","Temperature (K)"
47100,-21135.18319021218,300.48855289354924
47200,-21145.233340042265,299.7989740007986
47300,-21082.456436060533,301.199943883932
47400,-21044.52449179437,292.9222375029387
47500,-21115.048792997604,301.33765651491774
47600,-21102.86557002419,312.9533013100149
47700,-21085.55007681652,312.2332237620137
47800,-21037.57987589013,302.19056491179543
47900,-21146.301727077665,309.6252537072974
48000,-21168.588404079048,311.14666825763896
48100,-21060.47232802264,300.99457944906766
48200,-21159.42730933753,301.6105192162392
48300,-21056.0353192547,303.63934726761755
48400,-21097.863109187718,301.9364749749378
48500,-21109.869495121235,298.1148954276373
48600,-21200.68454249861,307.95738926386656
48700,-20960.782704893434,299.52917138357986
48800,-21099.77626769728,304.0314746757938
48900,-21119.684198951,304.4131713914648
49000,-21007.050561416454,294.89144740489854
