#"Step","Potential Energy (kJ/mole)","Temperature (K)"
39100,-21004.168311767742,294.89625588285986
39200,-21139.50935770177,305.4395758147331
39300,-21153.398733243965,315.4433726563533
39400,-21080.637936108153,306.6096792886872
39500,-21115.120211848294,314.4345959276354
39600,-21022.71352478241,302.33220509420676
39700,-21128.38928317259,309.80417742119306
39800,-21074.820413215853,315.2423476948873
39900,-20913.0861256609,304.59002389466883
40000,-21079.29741448798,309.1295327020614
40100,-21173.05231665404,321.367513119836
40200,-21057.605999167197,321.4128914822529
40300,-20987.33279544346,313.2953591871793
40400,-20835.490130069964,307.40319252464434
40500,-20993.662414093444,324.21004689199845
40600,-20942.268660705606,310.4564945602943
40700,-20800.678466442587,310.7249172554339
40800,-20866.470443433795,310.7811499148472
40900,-20874.939532110307,321.49709907050936
41000,-20735.395586115086,324.39216450500896
