#"Step","Potential Energy (kJ/mole)","Temperature (K)"
37600,-21476.408228382614,274.2985034262189
37700,-21527.856686657407,291.7693377838194
37800,-21331.734830427962,279.7397909553497
37900,-21381.629412884216,298.48721059914584
38000,-21193.961225685136,296.7355572725421
38100,-21180.514904325162,304.5295904604386
38200,-20995.154781644218,295.1142722598864
38300,-20887.984791794894,302.04382645256476
38400,-20849.314562340925,289.6352127611201
38500,-20960.775166612028,306.2722040164247
38600,-20825.11510221471,302.3951003203232
38700,-20731.59096783009,300.55338169615106
38800,-20864.182281568912,304.17919697210414
38900,-20762.502780678733,296.25226899529395
39000,-20993.177945095907,301.8277694980186
39100,-20939.792787795213,305.74766192880634
39200,-20957.27883932406,311.14319681292176
39300,-20968.406563448792,316.05308862703384
39400,-20991.80787417916,314.51774468771356
39500,-20963.05853549454,308.1682118338973
