#"Step","Potential Energy (kJ/mole)","Temperature (K)"
27100,-21277.382900236247,280.413578326003
27200,-21190.324280543096,284.59396351014027
27300,-21246.519997835487,294.3644834527835
27400,-21129.34432279999,297.2559960028869
27500,-21147.74904294725,308.31718786697166
27600,-21167.737960553335,313.1397193866272
27700,-20964.64685916852,305.2407147422157
27800,-21089.058914740956,308.2987355721025
27900,-21024.5332512961,306.47329060428916
28000,-20951.061434421295,305.0665289130574
28100,-21053.87432164624,313.71377880293375
28200,-21057.00044626876,305.00964377690957
28300,-20970.952309156208,301.52298321402685
28400,-21001.03029111469,306.62330550062677
28500,-21012.764074983195,318.903833443357
28600,-20959.85718471474,321.7688568423274
28700,-20814.814464359748,315.79946078784263
28800,-20787.96385434622,309.7528528774591
28900,-20758.160173762626,314.91174490452346
29000,-20904.44832382003,323.31020439452897
