#"Step","Potential Energy (kJ/mole)","Temperature (K)"
41100,-21146.9047386964,296.5596543767006
41200,-21118.030313273386,303.26431403213775
41300,-21064.009111581858,306.87472236749784
41400,-21212.412750489653,314.56268353829404
41500,-21076.66855067202,309.0932150588267
41600,-20969.77852862041,296.31114288634745
41700,-20916.06494112218,300.35332696843176
41800,-21128.68905351956,307.19966967905475
41900,-21105.423136604015,295.8914314047809
42000,-21109.823912301566,296.9117409059443
42100,-20998.773282627375,292.4822578981998
42200,-21057.344498360988,303.364170865851
42300,-20974.951121203136,305.3257739610554
42400,-20987.430850489643,301.39495923171467
42500,-20937.564320449,293.20039032053285
42600,-20886.33726895371,301.03981279335216
42700,-20986.705871029644,314.0251973314206
42800,-20802.290035146434,306.01292458717865
42900,-20964.55230167777,309.5810901501005
43000,-20892.871757108624,294.00764750592043
