#"Step","Potential Energy (kJ/mole)","Temperature (K)"
55100,-20743.90113858441,326.1184272676662
55200,-20803.36699768412,323.59740725602416
55300,-20894.363445418734,322.7932253498029
55400,-20744.27338417865,315.23514062401017
55500,-20732.359008667718,313.8958095316899
55600,-20866.112817922887,313.41373010851703
55700,-20805.790953808628,305.63312086485024
55800,-20864.97985980589,317.3909772811379
55900,-20957.87438762831,325.4157094965816
56000,-20742.506194176756,308.9568654870521
56100,-20791.13939129242,324.12180577426955
56200,-20712.698413275342,318.6758566210302
56300,-20768.775789796786,323.2723446457184
56400,-20584.70860323129,310.582883109674
56500,-20643.388568339076,308.318391902442
56600,-20636.708219396525,309.2478117072234
56700,-20848.445767123078,321.71196449837623
56800,-20679.71248137513,315.71797981804457
56900,-20693.67084237517,326.34689454759564
57000,-20669.349626234016,320.0730077071953
