#"Step","Potential Energy (kJ/mole)","Temperature (K)"
51100,-21310.025359448242,285.65119491516845
51200,-21222.746140986284,302.0369960426885
51300,-21228.356549638054,311.73962623006173
51400,-21176.14498610869,311.02289809999496
51500,-21142.58991990094,309.0902979291602
51600,-21107.477596819906,312.5683315351928
51700,-21090.393452604105,314.84389531802964
51800,-20949.323287725507,306.96927830640067
51900,-20963.10071688756,318.254719050571
52000,-20852.143455525933,332.9800943093535
52100,-20748.958220146957,326.56761733658686
52200,-20455.633848498834,306.1974117365642
52300,-20815.079584848012,325.4440687310579
52400,-20659.858683236656,315.44189594074885
52500,-20762.57247101678,311.44971509600276
52600,-20582.883991208055,320.5546091216703
52700,-20592.95770632386,322.8772175347044
52800,-20564.331247078662,318.0318518410971
52900,-20727.31220879841,325.7576607343198
53000,-20485.541417866578,311.2375297394174
