#"Step","Potential Energy (kJ/mole)","Temperature (K)"
53100,-21149.749326102738,310.49165040935895
53200,-20959.666512861884,317.75704651319853
53300,-20914.768152661,311.4015248110416
53400,-20800.739281750102,316.277512373381
53500,-20716.83378836496,319.1808273809855
53600,-20679.010217304258,316.08786176250874
53700,-20802.972257961294,313.649918944845
53800,-20540.262699688185,301.72825700493354
53900,-20688.503666884513,311.85393246182326
54000,-20692.269723267444,315.2856237597251
54100,-20507.420416318928,309.42279232502256
54200,-20638.590398330485,328.98476913020346
54300,-20553.675548385036,331.5414590169089
54400,-20527.976661689223,319.3790119416742
54500,-20531.44273808498,329.4680205205131
54600,-20391.46097898741,329.0647116938497
54700,-20535.858235374933,332.8263109702165
54800,-20455.224320820522,323.490439498688
54900,-20504.356204397067,322.77587555150996
55000,-20419.018592235552,322.4104478066181
