#"Step","Potential Energy (kJ/mole)","Temperature (K)"
45100,-20879.930512001316,314.40843160669544
45200,-20802.32848119851,321.07198907151826
45300,-20852.393473042346,325.1858680048708
45400,-20663.2565901541,310.1105771168491
45500,-20863.72877981882,332.96735243391873
45600,-20636.221258175992,315.260142885465
45700,-20704.185782187815,327.8420086489778
45800,-20601.06101110877,324.2380087202785
45900,-20630.57900436241,328.42689501172845
46000,-20608.453739916138,323.2777548283033
46100,-20621.96045772279,314.44970241595746
46200,-20692.889805814855,320.23199119010184
46300,-20587.489882720143,317.8336797526076
46400,-20620.709157525056,322.0678439325179
46500,-20499.080579914127,318.83469772359973
46600,-20547.211302966392,319.5825312338441
46700,-20498.67861462405,326.3635839110523
46800,-20391.91126887225,320.0652875576795
46900,-20558.117708839007,332.28306226787004
47000,-20652.70605382811,332.72095445718134
