#"Step","Potential Energy (kJ/mole)","Temperature (K)"
27100,-21226.976851527823,284.41609626093134
27200,-21249.475421221883,295.1302734979747
27300,-21300.126396687265,290.5533576139252
27400,-21178.383560958748,288.56034369895235
27500,-21310.82886904995,298.49032495280517
27600,-21144.144132301226,284.91511415178894
27700,-21366.17868929193,306.81323941297796
27800,-21221.321951707578,296.29067771971586
27900,-21297.757358711522,296.5800811099794
28000,-21142.060453110396,282.060041038307
28100,-21151.30074517634,279.429497415258
28200,-21244.716502845946,283.47589383811885
28300,-21264.581018841553,288.71317635276534
28400,-21069.8211846225,284.287311357912
28500,-21097.65016030007,299.13611698457674
28600,-21091.27280580519,287.8285865258945
28700,-21038.777133001866,288.734591740827
28800,-20961.144573262125,290.3671429736552
28900,-21172.074000964058,290.8745580906191
29000,-21201.55198197482,308.0292256653845
