#"Step","Potential Energy (kJ/mole)","Temperature (K)"
61100,-20859.78636883603,311.8416718203171
61200,-20771.24068192132,296.8118936642449
61300,-20807.97341124953,301.42452133357466
61400,-21005.072255704756,318.0084244427425
61500,-20882.23716362713,306.88141814805084
61600,-20850.659627417615,301.298777474468
61700,-20845.824667243232,309.4271402817983
61800,-20744.358250710087,293.866533912031
61900,-20960.516352900693,308.60520169404674
62000,-20841.496371437326,294.48642421626994
62100,-20857.946511473794,286.80319992791453
62200,-21080.714694347607,303.37515339856344
62300,-21176.567581147214,309.1698860469927
62400,-21007.131317183994,294.96063307639804
62500,-21183.250646166787,312.2661379823827
62600,-21202.23502135623,308.765723651596
62700,-21170.66275698906,297.69000013598435
62800,-21105.0195845151,290.3712339556982
62900,-21336.306827678352,305.52125856150457
63000,-21249.462550029377,298.77391610453714
