#"Step","Potential Energy (kJ/mole)","Temperature (K)"
47600,-20872.540313991634,308.75252945996584
47700,-20789.848975485507,307.0400274203289
47800,-20814.102285511904,306.7820099001528
47900,-20841.846945062687,320.7221789127052
48000,-20906.86992677038,329.8386565650894
48100,-20692.81573647807,308.88802483154166
48200,-20840.203109580943,312.28683910974837
48300,-20751.654841171767,313.0354881797622
48400,-20741.915760718093,317.6049734119213
48500,-20806.389336694043,313.86662442026034
48600,-20826.73471070872,313.2077639764766
48700,-20704.12775388284,309.43640227345537
48800,-20743.910889699044,318.61435248900045
48900,-20661.680920759994,329.9298944961409
49000,-20528.12458314495,322.2738903658544
49100,-20767.42284345758,322.85206108076255
49200,-20661.87250969787,306.7781201893451
49300,-20819.060301944668,316.07885095878356
49400,-20940.77002960432,311.93089485142787
49500,-20967.214834277947,311.784277572421
