#"Step","Potential Energy (kJ/mole)","Temperature (K)"
57100,-21168.60182056608,292.852632203588
57200,-21242.105916261804,300.35938485838494
57300,-21329.216511540875,306.35099330852745
57400,-21195.88435458958,300.92128243320866
57500,-21306.569291779742,291.2148703220049
57600,-21401.589763775428,300.9993046378119
57700,-21196.50369976405,285.5363144304522
57800,-21192.86969858016,292.65836163409426
57900,-21254.172454761647,291.6750010311457
58000,-21214.320019295723,290.13075241186203
58100,-21234.119914885174,299.91280126751843
58200,-21178.872081066904,290.6992835531403
58300,-21221.74253233122,294.805456650444
58400,-21117.094642949665,288.74717946680954
58500,-21001.995432291147,287.62181403056644
58600,-21155.745519358414,287.75842984647454
58700,-21204.0125996078,296.32493424419687
58800,-21107.12505687278,299.3421621940056
58900,-21080.111344109948,302.3034706962796
59000,-21200.44557136319,300.6257013795831
