#"Step","Potential Energy (kJ/mole)","Temperature (K)"
33100,-21589.288784401666,283.5908460385946
33200,-21412.640873085777,286.0612578360919
33300,-21377.111714428644,286.648522242024
33400,-21344.175136367907,291.81377491960427
33500,-21396.36665025919,289.8759515198636
33600,-21378.19716731161,290.3502480275118
33700,-21337.019649350765,286.8235847169142
33800,-21291.45686053767,292.6762950610584
33900,-21368.837023484688,309.19562112310444
34000,-21339.561919825006,307.4174353004145
34100,-21261.871564320943,307.15912836568924
34200,-21355.52923410346,303.51456642353236
34300,-21174.226805214603,289.1094194727094
34400,-21248.33194169366,290.6773478699906
34500,-21296.678688442436,296.4053034437883
34600,-21220.513556605423,292.9357510576101
34700,-21232.588321557923,298.2483766566649
34800,-21311.4309364299,297.29861711769814
34900,-21360.02343799853,299.1991465255695
35000,-21442.425877501773,291.9207488955817
