#"Step","Potential Energy (kJ/mole)","Temperature (K)"
37100,-20304.335403226833,323.6710422449575
37200,-20220.020336715057,325.49996876007884
37300,-20373.55003317224,345.8594730081023
37400,-20282.247035362565,334.36271623692545
37500,-20254.443238103137,336.9610905421185
37600,-20440.887556412312,339.3125945126878
37700,-20362.505081498563,320.81370019207657
37800,-20516.406935428677,327.8783775558349
37900,-20564.181397804776,328.7848315052434
38000,-20293.05998480542,317.61097147039277
38100,-20220.60139913133,326.03783413020085
38200,-20385.39358067463,336.3013758009611
38300,-20334.4861658989,324.3447540312688
38400,-20721.149286797747,348.95609259946264
38500,-20456.241899116034,323.09337749724773
38600,-20569.99203685132,329.05235153381375
38700,-20592.965740389904,330.3860754305903
38800,-20605.833596226545,319.4241407081956
38900,-20685.431156519488,322.5737583420769
39000,-20627.245318928788,318.5633413528665
